Steps,FloorsNum,PeopleNum,Brain,Max people on floor,liftNum
3937287,83,1055,lift.main.LiftBrain,22,1
29179,131,65,lift.main.LiftBrain,4,1
374631,13,825,lift.main.LiftBrain,82,1
7878293,159,1105,lift.main.LiftBrain,17,1
1231644,59,685,lift.main.LiftBrain,18,1
1230017,45,785,lift.main.LiftBrain,28,1
6777402,141,1065,lift.main.LiftBrain,20,1
98291,51,205,lift.main.LiftBrain,8,1
657701,33,685,lift.main.LiftBrain,31,1
1044468,85,535,lift.main.LiftBrain,13,1
668631,151,305,lift.main.LiftBrain,7,1
183665,109,195,lift.main.LiftBrain,5,1
270894,33,445,lift.main.LiftBrain,20,1
3027442,105,795,lift.main.LiftBrain,13,1
8097329,137,1155,lift.main.LiftBrain,17,1
101576,9,495,lift.main.LiftBrain,64,1
361,29,15,lift.main.LiftBrain,2,1
7771768,137,1145,lift.main.LiftBrain,15,1
533421,133,305,lift.main.LiftBrain,6,1
9443069,161,1195,lift.main.LiftBrain,14,1
289690,69,305,lift.main.LiftBrain,10,1
3810656,105,945,lift.main.LiftBrain,15,1
1777318,39,1045,lift.main.LiftBrain,35,1
841838,55,575,lift.main.LiftBrain,18,1
72637,113,125,lift.main.LiftBrain,4,1
3235111,141,715,lift.main.LiftBrain,12,1
1061847,47,725,lift.main.LiftBrain,22,1
4621071,121,935,lift.main.LiftBrain,16,1
47254,47,145,lift.main.LiftBrain,7,1
57252,115,105,lift.main.LiftBrain,3,1
4060117,61,1275,lift.main.LiftBrain,35,1
2706031,119,735,lift.main.LiftBrain,12,1
3771906,79,1075,lift.main.LiftBrain,26,1
2154824,127,615,lift.main.LiftBrain,11,1
508053,39,555,lift.main.LiftBrain,24,1
3572355,149,745,lift.main.LiftBrain,11,1
200798,33,375,lift.main.LiftBrain,18,1
446958,67,385,lift.main.LiftBrain,12,1
2070611,65,855,lift.main.LiftBrain,22,1
1008418,55,665,lift.main.LiftBrain,21,1
1229092,143,445,lift.main.LiftBrain,8,1
1861378,29,1225,lift.main.LiftBrain,55,1
1252375,27,1055,lift.main.LiftBrain,49,1
2981,5,115,lift.main.LiftBrain,29,1
2457754,37,1225,lift.main.LiftBrain,46,1
412879,71,375,lift.main.LiftBrain,14,1
793988,55,585,lift.main.LiftBrain,21,1
20617,87,75,lift.main.LiftBrain,4,1
217004,115,205,lift.main.LiftBrain,6,1
4330095,89,1055,lift.main.LiftBrain,23,1
2345641,153,605,lift.main.LiftBrain,10,1
5558209,161,935,lift.main.LiftBrain,13,1
7883926,135,1155,lift.main.LiftBrain,20,1
8391947,119,1305,lift.main.LiftBrain,25,1
9698486,161,1195,lift.main.LiftBrain,14,1
161682,25,415,lift.main.LiftBrain,24,1
3443619,105,865,lift.main.LiftBrain,16,1
1581,99,15,lift.main.LiftBrain,2,1
103636,9,515,lift.main.LiftBrain,64,1
388437,61,385,lift.main.LiftBrain,13,1
5402869,147,935,lift.main.LiftBrain,14,1
44526,25,195,lift.main.LiftBrain,13,1
1853468,159,505,lift.main.LiftBrain,7,1
1732631,47,915,lift.main.LiftBrain,30,1
438891,145,265,lift.main.LiftBrain,6,1
113194,13,465,lift.main.LiftBrain,48,1
688472,147,315,lift.main.LiftBrain,6,1
299819,43,405,lift.main.LiftBrain,17,1
2369315,69,895,lift.main.LiftBrain,20,1
2668920,133,685,lift.main.LiftBrain,12,1
